Voltage(V),Transmission(mV)
0.065,465.0
0.159,468.0
0.241,471.0
0.355,471.0
0.453,493.0
0.559,496.0
0.646,516.0
0.771,525.0
0.868,541.0
0.961,571.0
1.05,576.0
1.18,591.0
1.27,591.0
1.37,583.0
1.47,577.0
1.59,567.0
1.65,544.0
1.76,507.0
1.85,451.0
1.96,414.0
2.07,361.0
2.18,309.0
2.26,261.0
2.38,214.0
2.47,163.0
2.57,126.0
2.66,94.2
2.79,64.8
2.88,43.2
2.99,31.8
3.05,18.4
3.18,14.2
3.28,9.39
3.47,6.18
3.59,5.18
3.59,5.18
3.68,4.56
3.77,3.88
3.86,3.75
3.99,3.66
4.08,3.42
4.19,3.57
4.29,3.47
4.4,3.62
4.48,3.96
4.61,3.98
4.67,3.91
4.79,3.85
4.87,4.02
